Ativo,Preço Atual (R$),Valor Intrínseco (R$),Potencial de Valorização (%),Risco (%),Volume (M),Dividend Yield (%)
ITUB4,37.9,65.6,73.08,21.54,29.64,56.0
BBDC4,15.4,27.69,79.83,39.51,35.98,148.0
MGLU3,9.78,15.81,61.7,79.22,19.64,312.0
EMBR3,68.75,113.17,64.61,46.29,3.85,20.0
GGBR4,15.77,24.67,56.43,33.54,12.62,406.0
BBAS3,25.67,42.66,66.17,32.05,152.18,608.0
BRFS3,20.78,31.58,51.99,42.18,43.47,339.0
CSAN3,7.57,11.8,55.84,42.92,28.15,596.0
TOTS3,41.58,66.33,59.52,24.16,3.17,67.0
B3SA3,14.77,23.17,56.91,46.23,24.31,170.0
CIEL3,22.19,39.08,76.09,25.47,1.44,4.64
SANB11,30.11,52.24,73.5,26.2,1.27,534.0
IRBR3,48.45,86.15,77.81,61.3,2.44,2.94
HAPV3,2.82,4.36,54.58,59.74,74.2,0.75
COGN3,3.15,4.82,53.01,58.47,32.99,847.0
