Ativo,Acurácia (%),Risco (%),Potencial de Valorização (%),Volume (M),Compra em,Venda em
PETR4,68.06,30.85,78.80,48.11,2 dias,8 dias
VALE3,70.43,28.21,37.89,18.16,2 dias,7 dias
ITUB4,71.95,23.95,20.95,29.64,3 dias,8 dias
BBDC4,56.24,39.51,61.38,35.98,3 dias,5 dias
ABEV3,69.19,25.78,58.37,26.06,3 dias,9 dias
MGLU3,50.00,79.22,74.29,19.64,2 dias,8 dias
WEGE3,58.07,38.69,50.58,8.77,3 dias,6 dias
EMBR3,58.31,46.29,60.23,3.85,3 dias,5 dias
GGBR4,65.10,33.54,58.95,12.62,1 dias,7 dias
JBSS3,54.13,50.01,35.42,12.47,4 dias,8 dias
BBAS3,68.28,32.05,77.26,152.18,2 dias,7 dias
SUZB3,75.79,20.95,29.67,5.86,4 dias,7 dias
RENT3,61.63,42.63,36.08,8.02,3 dias,5 dias
LREN3,50.00,53.88,30.91,10.77,1 dias,9 dias
BRFS3,56.99,42.18,46.91,43.47,1 dias,8 dias
CSAN3,56.26,42.92,69.42,28.15,1 dias,5 dias
TOTS3,76.30,24.16,42.09,3.17,2 dias,6 dias
VVAR3,65.91,34.48,73.78,2.31,4 dias,5 dias
B3SA3,50.00,46.22,57.43,24.31,4 dias,6 dias
CIEL3,68.41,24.25,78.86,4.54,1 dias,5 dias
ELET3,76.41,21.16,41.26,14.66,2 dias,5 dias
SANB11,69.77,26.20,73.43,1.27,1 dias,9 dias
IRBR3,50.00,61.30,43.96,2.44,3 dias,9 dias
HAPV3,50.00,59.74,77.36,74.20,1 dias,9 dias
COGN3,50.00,58.47,56.16,32.99,2 dias,5 dias
